LATITUDE,LONGITUDE,YEAR,OND_SUM
9.0,76.75,1953,754.2000002861023
9.0,76.75,1954,680.2999987602234
9.0,76.75,1955,676.699996471405
9.0,76.75,1956,782.7999908924103
9.0,76.75,1957,590.1999936103821
9.0,76.75,1958,485.6999988555908
9.0,76.75,1959,348.3000020980835
9.0,76.75,1960,932.8000023365021
9.0,76.75,1961,303.6999998688698
9.0,76.75,1962,665.2999875545502
9.0,76.75,1963,484.19999891519547
9.0,76.75,1964,462.30000376701355
9.0,76.75,1965,538.6999995708466
9.0,76.75,1966,759.1999931335449
9.0,76.75,1967,550.3000056743622
9.0,76.75,1968,716.5000019073486
9.0,76.75,1969,350.30000138282776
9.0,76.75,1970,790.8094908744097
9.0,76.75,1971,584.3568587303162
9.0,76.75,1972,773.4231935441494
9.0,76.75,1973,690.3823030740023
9.0,76.75,1974,367.8000011444092
9.0,76.75,1975,679.7999935150146
9.0,76.75,1976,689.4000039100647
9.0,76.75,1977,798.1000003814697
9.0,76.75,1978,801.6318487524986
9.0,76.75,1979,660.200005531311
9.0,76.75,1980,527.7000036239624
9.0,76.75,1981,386.9773792475462
9.0,76.75,1982,413.13800793886185
9.0,76.75,1983,321.16948859393597
9.0,76.75,1984,205.90980637073517
9.0,76.75,1985,103.19149112701416
9.0,76.75,1986,275.88038374483585
9.0,76.75,1987,568.1446304395795
9.0,76.75,1988,198.60000491142273
9.0,76.75,1989,583.4999980926514
9.0,76.75,1990,787.7000042200089
9.0,76.75,1991,716.7999929189682
9.0,76.75,1992,1049.200004518032
9.0,76.75,1993,774.6000066995621
9.0,76.75,1994,959.2999925613403
9.0,76.75,1995,489.7999975681305
9.0,76.75,1996,818.099991440773
9.0,76.75,1997,917.1000075340271
9.0,76.75,1998,1103.2000082731247
9.0,76.75,1999,1145.699997663498
9.0,76.75,2000,406.80000376701355
9.0,76.75,2001,583.4000036716461
9.0,76.75,2002,1208.0000071525574
9.0,76.75,2003,565.0000014305115
9.0,76.75,2004,449.8000023365021
9.0,76.75,2005,627.0000047683716
9.0,76.75,2006,919.8000138998032
9.0,76.75,2007,554.1500056684017
9.0,76.75,2008,493.5999997854233
9.0,76.75,2009,593.800000667572
9.0,76.75,2010,1219.3999985456467
9.0,76.75,2011,529.2000011205673
9.0,76.75,2012,378.80000019073486
9.0,76.75,2013,719.599993288517
9.0,76.75,2014,553.9999952465296
9.0,76.75,2015,790.9000030755997
9.0,76.75,2016,606.3999993652105
9.0,76.75,2017,888.599997445941
9.0,76.75,2018,567.6000043600798
9.0,76.75,2019,695.7999960780144
9.0,76.75,2020,393.7999994754791
9.0,76.75,2021,1542.200003772974
9.0,76.75,2022,582.7999991327524
9.0,76.75,2023,856.3000013232231
9.0,77.0,1901,553.2075827419758
9.0,77.0,1902,776.1980928331614
9.0,77.0,1903,598.4331071451306
9.0,77.0,1904,359.87305024266243
9.0,77.0,1905,495.63907440006733
9.0,77.0,1906,986.4053222835064
9.0,77.0,1907,1061.0214787945151
9.0,77.0,1908,316.2580694705248
9.0,77.0,1909,835.4857162386179
9.0,77.0,1910,886.6762649789453
9.0,77.0,1911,594.3658515363932
9.0,77.0,1912,1024.1979269757867
9.0,77.0,1913,774.3509383946657
9.0,77.0,1914,1099.1435613036156
9.0,77.0,1915,567.6610084548593
9.0,77.0,1916,700.04694160074
9.0,77.0,1917,540.5698835104704
9.0,77.0,1918,480.45245268940926
9.0,77.0,1919,600.0438999086618
9.0,77.0,1920,876.9546415805817
9.0,77.0,1921,527.049751676619
9.0,77.0,1922,890.9554858058691
9.0,77.0,1923,883.3106725215912
9.0,77.0,1924,503.22658759355545
9.0,77.0,1925,1085.771433711052
9.0,77.0,1926,326.57886969298124
9.0,77.0,1927,369.6757064461708
9.0,77.0,1928,835.9062494114041
9.0,77.0,1929,952.9619530513883
9.0,77.0,1930,905.1434870660305
9.0,77.0,1931,389.43929439783096
9.0,77.0,1932,859.0744090378284
9.0,77.0,1933,692.7824514880776
9.0,77.0,1934,317.3117640465498
9.0,77.0,1935,952.4172402396798
9.0,77.0,1936,706.4843663796782
9.0,77.0,1937,993.7627958282828
9.0,77.0,1938,492.98972475528717
9.0,77.0,1939,708.4179198592901
9.0,77.0,1940,667.5037506371737
9.0,77.0,1941,872.5795544981956
9.0,77.0,1942,833.9206552803516
9.0,77.0,1943,1007.5324221402407
9.0,77.0,1944,869.7655862122774
9.0,77.0,1945,777.9947830811143
9.0,77.0,1946,870.0596260800958
9.0,77.0,1947,505.23597380518913
9.0,77.0,1948,430.9284480288625
9.0,77.0,1949,454.28138479590416
9.0,77.0,1950,698.2987540140748
9.0,77.0,1951,511.69670900702477
9.0,77.0,1952,595.3307116776705
9.0,77.0,1953,592.1493050381541
9.0,77.0,1954,915.7020574808121
9.0,77.0,1955,421.07844980061054
9.0,77.0,1956,521.6237935498357
9.0,77.0,1957,672.758975610137
9.0,77.0,1958,690.5099367797375
9.0,77.0,1959,384.12301790714264
9.0,77.0,1960,732.5659747868776
9.0,77.0,1961,352.0037939026952
9.0,77.0,1962,338.3147911578417
9.0,77.0,1963,344.001256480813
9.0,77.0,1964,506.28929594904184
9.0,77.0,1965,590.1815114766359
9.0,77.0,1966,869.7899244427681
9.0,77.0,1967,432.4319733157754
9.0,77.0,1968,635.2318512648344
9.0,77.0,1969,284.35671811550856
9.0,77.0,1970,817.685269087553
9.0,77.0,1971,460.240992821753
9.0,77.0,1972,775.2836416959763
9.0,77.0,1973,1153.5791602805257
9.0,77.0,1974,264.784225910902
9.0,77.0,1975,559.3487499579787
9.0,77.0,1976,730.0561043918133
9.0,77.0,1977,884.3414161130786
9.0,77.0,1978,747.8841524720192
9.0,77.0,1979,728.046839915216
9.0,77.0,1980,321.54413605481386
9.0,77.0,1981,270.53546345978975
9.0,77.0,1982,494.20020791888237
9.0,77.0,1983,428.2435635328293
9.0,77.0,1984,286.0490372478962
9.0,77.0,1985,335.12896355986595
9.0,77.0,1986,252.9821919798851
9.0,77.0,1987,469.4045761972666
9.0,77.0,1988,262.46980476379395
9.0,77.0,1989,403.09507489204407
9.0,77.0,1990,798.8766318038106
9.0,77.0,1991,692.8837752640247
9.0,77.0,1992,1079.699901342392
