LATITUDE,LONGITUDE,YEAR,JJAS_SUM
8.75,77.0,1955,3560.5059732198715
8.75,77.0,1956,1881.609556980431
8.75,77.0,1957,2383.1122543662786
8.75,77.0,1958,3876.1838603913784
8.75,77.0,1959,2932.50971442461
8.75,77.0,1960,2519.3198156654835
8.75,77.0,1961,3504.6088105142117
8.75,77.0,1962,1437.828095793724
8.75,77.0,1963,2723.7216061279178
8.75,77.0,1964,2650.413582831621
8.75,77.0,1965,1859.1129639744759
8.75,77.0,1966,1903.2550784647465
8.75,77.0,1967,1519.8971277177334
8.75,77.0,1968,2607.734598636627
8.75,77.0,1969,1670.9540417417884
8.75,77.0,1970,578.9467960298061
8.75,77.0,1971,993.2347982227802
8.75,77.0,1972,1686.3394914865494
8.75,77.0,1973,926.4270443916321
8.75,77.0,1974,737.7165922820568
8.75,77.0,1975,683.9821724295616
8.75,77.0,1976,155.1588040739298
8.75,77.0,1977,543.1302391141653
8.75,77.0,1978,400.11308324337006
8.75,77.0,1979,569.1787437647581
8.75,77.0,1980,453.88384180516005
8.75,77.0,1981,683.4806539267302
8.75,77.0,1982,361.77658876776695
8.75,77.0,1983,368.9700291454792
8.75,77.0,1984,253.8491471707821
8.75,77.0,1985,232.09450352191925
8.75,77.0,1986,385.37541979551315
8.75,77.0,1987,600.1295666247606
8.75,77.0,1988,655.1515789479017
8.75,77.0,1989,496.3435015305877
8.75,77.0,1990,540.9433269053698
8.75,77.0,1991,1040.2669270336628
8.75,77.0,1992,571.6786971986294
8.75,77.0,1993,398.9565145820379
8.75,77.0,1994,540.1202849447727
8.75,77.0,1995,459.7838686108589
8.75,77.0,1996,551.3473468571901
8.75,77.0,1997,565.8626036792994
8.75,77.0,1998,656.0495912581682
8.75,77.0,1999,709.0433809608221
8.75,77.0,2000,750.1989208608866
8.75,77.0,2001,295.08827017992735
8.75,77.0,2002,128.20418950915337
8.75,77.0,2003,146.18151608109474
8.75,77.0,2004,838.2881457284093
8.75,77.0,2005,970.7643079161644
8.75,77.0,2006,800.22868090868
8.75,77.0,2007,677.1771320551634
8.75,77.0,2008,964.4864350408316
8.75,77.0,2009,876.1901084408164
8.75,77.0,2010,739.8148158788681
8.75,77.0,2011,806.0267072468996
8.75,77.0,2012,677.1787854507565
8.75,77.0,2013,1053.8348461687565
8.75,77.0,2014,775.875117585063
8.75,77.0,2015,784.6671730577946
8.75,77.0,2016,582.3034687638283
8.75,77.0,2017,809.394048511982
8.75,77.0,2018,1120.950396001339
8.75,77.0,2019,956.539226680994
8.75,77.0,2020,873.5883419662714
8.75,77.0,2021,743.7337701618671
8.75,77.0,2022,517.67458088696
8.75,77.0,2023,198.44491670280695
9.0,76.75,1901,1443.9000019431114
9.0,76.75,1902,1829.3999868035316
9.0,76.75,1903,1599.1999981999397
9.0,76.75,1904,2330.6999938488007
9.0,76.75,1905,1393.7000024914742
9.0,76.75,1906,1327.7999933362007
9.0,76.75,1907,1929.1999960541725
9.0,76.75,1908,1362.0000091195107
9.0,76.75,1909,1495.6999824643135
9.0,76.75,1910,1217.6999802589417
9.0,76.75,1911,1431.8999903202057
9.0,76.75,1912,1458.8999965190887
9.0,76.75,1913,1054.1999998092651
9.0,76.75,1914,1675.6999843120575
9.0,76.75,1915,2937.5999913215637
9.0,76.75,1916,1907.2999925613403
9.0,76.75,1917,2483.4999833106995
9.0,76.75,1918,1129.9999866485596
9.0,76.75,1919,2402.5999870300293
9.0,76.75,1920,2449.2999913692474
9.0,76.75,1921,1735.6999852657318
9.0,76.75,1922,1821.5999829769135
9.0,76.75,1923,2508.999984741211
9.0,76.75,1924,2675.79997587204
9.0,76.75,1925,1396.499986410141
9.0,76.75,1926,1754.0999813079834
9.0,76.75,1927,1457.299983739853
9.0,76.75,1928,1086.1999896168709
9.0,76.75,1929,1955.7999918460846
9.0,76.75,1930,1278.7999937534332
9.0,76.75,1931,2004.5999989509583
9.0,76.75,1932,1349.1999952793121
9.0,76.75,1933,1931.0999851226807
9.0,76.75,1934,1041.7999987602234
9.0,76.75,1935,1425.999983549118
9.0,76.75,1936,1310.199997484684
9.0,76.75,1937,1090.400000154972
9.0,76.75,1938,1194.8999920487404
9.0,76.75,1939,1493.6999940872192
9.0,76.75,1940,1935.199979543686
9.0,76.75,1941,1454.5000021457672
9.0,76.75,1942,1589.7999939918518
9.0,76.75,1943,1987.2999815940857
9.0,76.75,1944,1124.6999962329865
9.0,76.75,1945,1598.9999887943268
9.0,76.75,1946,2572.0999903678894
9.0,76.75,1947,2117.299989461899
9.0,76.75,1948,2075.999997854233
9.0,76.75,1949,1559.7999727725983
9.0,76.75,1950,2288.599992752075
9.0,76.75,1951,1675.2999806404114
9.0,76.75,1952,1304.7999777793884
9.0,76.75,1953,1454.4999904632568
9.0,76.75,1954,1309.499980688095
9.0,76.75,1955,1440.1999876499176
9.0,76.75,1956,947.3999865055084
9.0,76.75,1957,1410.3999794125557
9.0,76.75,1958,1155.5999917984009
9.0,76.75,1959,1474.0999906659126
9.0,76.75,1960,1181.0999919772148
9.0,76.75,1961,1727.8999961018562
9.0,76.75,1962,892.4999973103404
9.0,76.75,1963,1235.399991929531
9.0,76.75,1964,1350.199996829033
9.0,76.75,1965,972.0999983847141
9.0,76.75,1966,1156.000005722046
9.0,76.75,1967,1291.4000010490417
9.0,76.75,1968,2430.5772985219955
9.0,76.75,1969,1182.7000012397766
9.0,76.75,1970,1326.1000032424927
9.0,76.75,1971,2031.1811475753784
9.0,76.75,1972,850.9000034332275
9.0,76.75,1973,1106.6999942064285
9.0,76.75,1974,1551.700006723404
9.0,76.75,1975,1958.2999968528748
9.0,76.75,1976,914.4999923706055
9.0,76.75,1977,1151.600000679493
9.0,76.75,1978,1240.7999985218048
9.0,76.75,1979,1295.3242383599281
9.0,76.75,1980,1349.8000082969666
9.0,76.75,1981,1909.2999926805496
9.0,76.75,1982,320.57028092443943
9.0,76.75,1983,578.0951338857412
9.0,76.75,1984,438.9050756543875
9.0,76.75,1985,416.9811122864485
9.0,76.75,1986,247.04337273538113
9.0,76.75,1987,251.4177673831582
9.0,76.75,1988,1588.0000060796738
9.0,76.75,1989,1678.5999965667725
9.0,76.75,1990,1102.4000017642975
9.0,76.75,1991,1696.10000243783
9.0,76.75,1992,1680.500003516674
9.0,76.75,1993,1439.7000037878752
9.0,76.75,1994,1620.3999956846237
9.0,76.75,1995,1437.1999983787537
9.0,76.75,1996,1398.800007045269
9.0,76.75,1997,1462.9000006914139
9.0,76.75,1998,1581.9999895095825
9.0,76.75,1999,1325.9999928474426
9.0,76.75,2000,1772.6000001430511
9.0,76.75,2001,1332.4000066518784
9.0,76.75,2002,1098.3999980688095
9.0,76.75,2003,912.5999991893768
9.0,76.75,2004,1001.6000044345856
9.0,76.75,2005,1262.5999991893768
9.0,76.75,2006,1401.2000076770782
9.0,76.75,2007,424.6250016093254
9.0,76.75,2008,1209.8000037670135
9.0,76.75,2009,1107.6000055074692
9.0,76.75,2010,1432.400004029274
9.0,76.75,2011,1167.8000019788742
9.0,76.75,2012,882.1999986171722
9.0,76.75,2013,1734.5999996513128
9.0,76.75,2014,1625.3999983221292
9.0,76.75,2015,1029.8000035062432
9.0,76.75,2016,893.6000034213066
9.0,76.75,2017,1358.0000005364418
9.0,76.75,2018,1817.100007146597
9.0,76.75,2019,1489.1999946534634
9.0,76.75,2020,1328.9000032246113
9.0,76.75,2021,1322.0999998003244
9.0,76.75,2022,1089.5000044554472
9.0,76.75,2023,1121.7000045776367
9.0,77.0,1901,654.2192629575729
9.0,77.0,1902,753.7163204848766
9.0,77.0,1903,713.9314558655024
9.0,77.0,1904,949.1322672218084
9.0,77.0,1905,1089.919483549893
9.0,77.0,1906,1103.9073391109705
9.0,77.0,1907,1908.3230755329132
9.0,77.0,1908,1098.2994863316417
9.0,77.0,1909,1202.9391394853592
9.0,77.0,1910,1249.4522034227848
9.0,77.0,1911,1476.9029161930084
9.0,77.0,1912,1496.6763244271278
9.0,77.0,1913,1258.105681501329
9.0,77.0,1914,2042.0803734138608
9.0,77.0,1915,1755.523367188871
9.0,77.0,1916,1303.9275162816048
9.0,77.0,1917,934.2791505753994
9.0,77.0,1918,790.5045399963856
9.0,77.0,1919,1213.2966067790985
9.0,77.0,1920,1671.4962631464005
9.0,77.0,1921,1242.1789246201515
9.0,77.0,1922,1387.5333436727524
9.0,77.0,1923,2051.971293926239
9.0,77.0,1924,2824.308477640152
9.0,77.0,1925,1037.175998032093
9.0,77.0,1926,1636.1445682048798
9.0,77.0,1927,1484.228951022029
9.0,77.0,1928,1156.6444599926472
9.0,77.0,1929,1630.4355399608612
9.0,77.0,1930,1351.6799149513245
9.0,77.0,1931,1752.7753894031048
9.0,77.0,1932,552.4988107010722
9.0,77.0,1933,1775.4249400645494
9.0,77.0,1934,954.671699911356
9.0,77.0,1935,1080.9855182170868
9.0,77.0,1936,1279.6572171747684
9.0,77.0,1937,795.3336396962404
9.0,77.0,1938,1116.8586502075195
9.0,77.0,1939,1483.4547243863344
9.0,77.0,1940,1409.5591469854116
9.0,77.0,1941,1619.5978521853685
9.0,77.0,1942,1284.2456039488316
9.0,77.0,1943,1585.0146333128214
9.0,77.0,1944,816.2130598276854
9.0,77.0,1945,1120.942223072052
9.0,77.0,1946,1209.0037568062544
9.0,77.0,1947,1394.4753262251616
9.0,77.0,1948,1314.2312107086182
9.0,77.0,1949,704.5648212432861
9.0,77.0,1950,1490.6328242495656
9.0,77.0,1951,1394.4154219180346
9.0,77.0,1952,910.0342589467764
9.0,77.0,1953,1010.0801148042083
9.0,77.0,1954,1200.666900448501
9.0,77.0,1955,980.2190921902657
9.0,77.0,1956,894.4800269380212
9.0,77.0,1957,1481.1085320711136
9.0,77.0,1958,1177.7062442153692
9.0,77.0,1959,1783.080372184515
9.0,77.0,1960,1175.0251446440816
9.0,77.0,1961,1974.1208448708057
9.0,77.0,1962,954.9805724918842
9.0,77.0,1963,1414.3409711569548
9.0,77.0,1964,1487.9326587617397
9.0,77.0,1965,958.0044547989964
9.0,77.0,1966,1171.0983886942267
9.0,77.0,1967,1918.0576338991523
9.0,77.0,1968,1587.2148329019547
9.0,77.0,1969,1193.339240193367
9.0,77.0,1970,1087.7698727697134
9.0,77.0,1971,1582.6675221472979
9.0,77.0,1972,873.1638114005327
9.0,77.0,1973,871.8293903693557
9.0,77.0,1974,1356.7980068325996
9.0,77.0,1975,835.7939323335886
9.0,77.0,1976,850.0525572448969
9.0,77.0,1977,825.4665732979774
9.0,77.0,1978,1115.5507427453995
9.0,77.0,1979,1260.0940589308739
9.0,77.0,1980,783.6499729603529
9.0,77.0,1981,1262.3438130617142
9.0,77.0,1982,237.5888176113367
9.0,77.0,1983,646.9644206166267
9.0,77.0,1984,208.67977300286293
9.0,77.0,1985,199.02685797214508
9.0,77.0,1986,156.05188083648682
9.0,77.0,1987,233.8898158967495
9.0,77.0,1988,296.40839925408363
9.0,77.0,1989,404.5908966064453
9.0,77.0,1990,1068.9784367904067
9.0,77.0,1991,1857.0626203119755
9.0,77.0,1992,1523.572028040886
9.0,77.0,1993,1216.9614050984383
9.0,77.0,1994,1345.15469558537
9.0,77.0,1995,1132.6554595977068
9.0,77.0,1996,1066.5846556574106
9.0,77.0,1997,1024.0207890495658
9.0,77.0,1998,1251.9894762709737
9.0,77.0,1999,819.7359375953674
9.0,77.0,2000,1181.777479544282
9.0,77.0,2001,1054.3066149950027
9.0,77.0,2002,671.638200879097
9.0,77.0,2003,772.878690212965
9.0,77.0,2004,1303.2332964092493
9.0,77.0,2005,1213.511353239417
9.0,77.0,2006,1231.5289629101753
